project_id,constituency,work_description,vendor_id,vendor_bank_acc,vendor_ip_address,sanctioned_amount_inr,invoiced_amount_inr,latitude,longitude,sanction_date,is_fraud_label,anomaly_reason
MPLAD_2026_10001,Sangli,Concrete Road Construction,VEND_1029,BANK_ACC_46463,192.168.1.13,1730217,1730217,18.471054,73.834035,2025-12-17,0,None
MPLAD_2026_10002,Nagpur,Construction of Community Hall,VEND_1038,BANK_ACC_23396,192.168.1.223,917807,917807,18.448962,73.792452,2025-11-25,0,None
MPLAD_2026_10003,Nagpur,Public Library Building,VEND_1014,BANK_ACC_13905,192.168.1.238,1560140,1560140,28.563091,77.153548,2025-04-20,1,GPS Geofence Violation
MPLAD_2026_10004,Nashik,Supply of Benches to Public Park,VEND_1020,BANK_ACC_13478,192.168.1.162,1091820,1091820,18.479126,73.88291,2025-05-17,0,None
MPLAD_2026_10005,Satara,Installation of Solar Streetlights,VEND_1035,BANK_ACC_30379,192.168.1.22,2460634,2460634,18.516917,73.879565,2025-04-24,0,None
MPLAD_2026_10006,Satara,Public Library Building,VEND_1031,BANK_ACC_30926,192.168.1.60,581301,581301,18.572221,73.730568,2025-12-16,0,None
MPLAD_2026_10007,Sangli,Public Library Building,VEND_1004,BANK_ACC_42098,192.168.1.90,1813831,1813831,18.599224,73.805823,2025-01-07,0,None
MPLAD_2026_10008,Nagpur,Supply of Benches to Public Park,VEND_1007,BANK_ACC_77777,192.168.1.99,2452216,2452216,18.55372,73.768035,2025-03-23,1,Vendor Cartel Cluster
MPLAD_2026_10009,Sangli,Construction of Community Hall,VEND_1016,BANK_ACC_38657,192.168.1.22,2299610,2299610,18.501536,73.721282,2025-11-25,0,None
MPLAD_2026_10010,Nashik,Public Library Building,VEND_1012,BANK_ACC_65302,192.168.1.33,841054,841054,18.43231,73.8907,2025-01-02,0,None
MPLAD_2026_10011,Nashik,Concrete Road Construction,VEND_1031,BANK_ACC_30926,192.168.1.60,281691,281691,18.472596,73.897064,2025-05-04,0,None
MPLAD_2026_10012,Pune,Installation of Solar Streetlights,VEND_1036,BANK_ACC_38221,192.168.1.220,530331,1712431,18.413843,73.85212,2025-03-08,1,Price Inflation Outlier
MPLAD_2026_10013,Nagpur,Drinking Water Pipeline Installation,VEND_1035,BANK_ACC_30379,192.168.1.22,892592,892592,18.574487,73.784628,2025-10-05,0,None
MPLAD_2026_10014,Thane,Supply of Benches to Public Park,VEND_1012,BANK_ACC_65302,192.168.1.33,1507432,1507432,18.534337,73.774684,2025-08-21,0,None
MPLAD_2026_10015,Pune,Installation of Solar Streetlights,VEND_1014,BANK_ACC_13905,192.168.1.238,468544,468544,18.517662,73.746023,2025-02-07,0,None
MPLAD_2026_10016,Nagpur,Supply of Benches to Public Park,VEND_1003,BANK_ACC_46048,192.168.1.218,1160251,2955297,18.466086,73.802831,2025-09-07,1,Price Inflation Outlier
MPLAD_2026_10017,Satara,Public Library Building,VEND_1008,BANK_ACC_98696,192.168.1.13,2182525,2182525,18.494595,73.781412,2025-12-05,0,None
MPLAD_2026_10018,Sangli,Concrete Road Construction,VEND_1027,BANK_ACC_68878,192.168.1.182,1924287,1924287,18.545815,73.834673,2025-02-21,0,None
MPLAD_2026_10019,Pune,Drinking Water Pipeline Installation,VEND_1021,BANK_ACC_83563,192.168.1.160,658307,658307,18.438042,73.789723,2025-05-24,0,None
MPLAD_2026_10020,Sangli,Installation of Solar Streetlights,VEND_1004,BANK_ACC_42098,192.168.1.90,2058625,2058625,18.571193,73.719582,2025-10-05,0,None
MPLAD_2026_10021,Thane,Construction of Community Hall,VEND_1005,BANK_ACC_77777,192.168.1.99,1191447,1191447,18.497128,73.742749,2025-02-01,1,Vendor Cartel Cluster
MPLAD_2026_10022,Satara,Drinking Water Pipeline Installation,VEND_1000,BANK_ACC_93810,192.168.1.99,1837547,1837547,18.556814,73.791002,2025-10-13,0,None
MPLAD_2026_10023,Nagpur,Supply of Benches to Public Park,VEND_1031,BANK_ACC_30926,192.168.1.60,849264,849264,18.44354,73.711697,2025-02-02,0,None
MPLAD_2026_10024,Nagpur,Concrete Road Construction,VEND_1003,BANK_ACC_46048,192.168.1.218,410312,410312,18.50057,73.870544,2025-09-19,0,None
MPLAD_2026_10025,Pune,Installation of Solar Streetlights,VEND_1004,BANK_ACC_42098,192.168.1.90,485048,485048,18.447041,73.723977,2025-05-08,0,None
MPLAD_2026_10026,Nashik,Public Library Building,VEND_1002,BANK_ACC_13278,192.168.1.93,543863,543863,18.516734,73.804557,2025-04-16,0,None
MPLAD_2026_10027,Nagpur,Supply of Benches to Public Park,VEND_1020,BANK_ACC_13478,192.168.1.162,1201121,1201121,18.426176,73.8291,2025-02-08,0,None
MPLAD_2026_10028,Pune,Drinking Water Pipeline Installation,VEND_1039,BANK_ACC_22156,192.168.1.27,619351,1746403,18.45304,73.886652,2025-05-07,1,Price Inflation Outlier
MPLAD_2026_10029,Kolhapur,Concrete Road Construction,VEND_1010,BANK_ACC_21395,192.168.1.119,2037879,2037879,18.540708,73.822336,2025-12-02,0,None
MPLAD_2026_10030,Nashik,Construction of Community Hall,VEND_1035,BANK_ACC_30379,192.168.1.22,1455685,1455685,18.420717,73.875625,2025-02-25,0,None
