project_id,state,district,parliamentary_constituency,implementing_agency,road_type,road_length_km,estimated_cost_lakh,actual_expenditure_lakh,planned_duration_days,actual_duration_days,project_start_date,project_completion_date,latitude,longitude,project_status,ground_truth_anomaly
MPLADS-RD-00001,Kerala,Thrissur,Thrissur,District Rural Development Agency (DRDA),State Highway Link,5.45,121.02,130.53,90,107,2020-05-14,2020-08-29,10.718309,76.209105,Completed,0
MPLADS-RD-00002,Karnataka,Bengaluru Urban,Bangalore North,State PWD Division,Village Road,3.97,17.22,17.45,116,117,2022-06-28,2022-10-23,12.935201,77.496552,Completed,0
MPLADS-RD-00003,Maharashtra,Pune,Pune,CPWD Division,Village Road,3.09,6.16,6.17,93,113,2022-08-09,2022-11-30,18.606203,73.917423,Completed,0
MPLADS-RD-00004,Tamil Nadu,Chennai,Chennai Central,Panchayati Raj Engineering Department,State Highway Link,2.52,36.26,34.97,68,74,2023-03-09,2023-05-22,13.169837,80.376915,Delayed,0
MPLADS-RD-00005,Haryana,Faridabad,Faridabad,District Rural Development Agency (DRDA),State Highway Link,5.75,260.03,245.45,100,132,2019-06-03,2019-10-13,28.625744,77.221451,Delayed,1
MPLADS-RD-00006,Gujarat,Ahmedabad,Ahmedabad East,Rural Engineering Services,Village Road,1.97,5.44,5.57,60,87,2023-01-02,2023-03-30,23.03837,72.510023,Delayed,0
MPLADS-RD-00007,Madhya Pradesh,Bhopal,Bhopal,District Rural Development Agency (DRDA),Rural Link Road,5.79,25.51,25.04,154,179,2022-09-19,2023-03-17,23.2668,77.318152,Completed,0
MPLADS-RD-00008,Odisha,Cuttack,Cuttack,Panchayati Raj Engineering Department,Rural Link Road,2.01,13.62,14.83,62,92,2020-12-23,2021-03-25,20.582861,85.830114,Delayed,0
MPLADS-RD-00009,Telangana,Hyderabad,Hyderabad,Panchayati Raj Engineering Department,Urban Internal Road,1.43,17.93,13.74,60,35,2022-04-05,,17.463454,78.56434,Ongoing,0
MPLADS-RD-00010,Odisha,Ganjam,Berhampur,CPWD Division,State Highway Link,5.07,82.37,45.64,95,52,2024-07-14,,19.298993,84.692352,Ongoing,0
MPLADS-RD-00011,Jharkhand,Dhanbad,Dhanbad,CPWD Division,Rural Link Road,2.14,9.35,10.68,61,61,2022-09-02,2022-11-02,23.865545,86.387615,Delayed,0
MPLADS-RD-00012,Bihar,Muzaffarpur,Muzaffarpur,State PWD Division,State Highway Link,10.32,139.08,261.89,150,101,2023-10-31,2024-02-22,26.004911,85.408511,Delayed,1
MPLADS-RD-00013,West Bengal,Kolkata,Kolkata Dakshin,Municipal Corporation,State Highway Link,5.12,77.86,81.01,106,132,2021-05-23,2021-10-02,22.775399,88.379081,Completed,0
MPLADS-RD-00014,Odisha,Ganjam,Berhampur,State PWD Division,Village Road,3.52,10.69,10.41,80,87,2022-08-25,2022-11-20,19.280772,84.887296,Completed,0
MPLADS-RD-00015,Assam,Silchar,Silchar,Block Development Office,Urban Internal Road,1.2,29.13,32.35,45,74,2023-09-20,2023-12-03,24.914142,92.745317,Delayed,1
MPLADS-RD-00016,Chhattisgarh,Durg,Durg,Panchayati Raj Engineering Department,State Highway Link,10.09,170.62,153.71,134,146,2019-07-05,2019-11-28,21.252854,81.288879,Completed,0
MPLADS-RD-00017,Telangana,Hyderabad,Hyderabad,Municipal Corporation,Village Road,3.03,15.18,17.65,74,196,2019-05-12,2019-11-24,17.346228,78.584823,Delayed,1
MPLADS-RD-00018,West Bengal,Howrah,Howrah,Block Development Office,Rural Link Road,3.03,26.7,46.42,87,89,2019-12-09,2020-03-07,22.569832,88.206919,Completed,1
MPLADS-RD-00019,Maharashtra,Nagpur,Nagpur,Block Development Office,Urban Internal Road,1.7,12.07,6.98,57,30,2020-07-18,,21.160846,79.104237,Ongoing,0
MPLADS-RD-00020,Chhattisgarh,Bilaspur,Bilaspur,Municipal Corporation,Village Road,1.0,2.54,2.42,45,48,2022-11-11,2022-12-29,21.977403,82.17124,Completed,0
MPLADS-RD-00021,Madhya Pradesh,Gwalior,Gwalior,State PWD Division,Village Road,3.1,11.46,10.53,72,102,2023-02-13,2023-05-26,26.28567,78.10938,Delayed,0
MPLADS-RD-00022,Maharashtra,Thane,Thane,Block Development Office,Village Road,3.38,16.69,17.56,96,112,2023-05-05,2023-08-25,19.116464,72.926544,Completed,0
MPLADS-RD-00023,Punjab,Patiala,Patiala,State PWD Division,Rural Link Road,5.87,36.01,33.9,120,138,2022-05-14,2022-09-29,30.281114,76.335252,Completed,0
MPLADS-RD-00024,Jharkhand,Jamshedpur (East Singhbhum),Jamshedpur,Zilla Parishad,Village Road,1.06,3.82,3.55,64,86,2019-09-23,2019-12-18,22.964881,86.268836,Delayed,0
MPLADS-RD-00025,Haryana,Karnal,Karnal,Zilla Parishad,Village Road,2.29,6.77,7.26,86,87,2022-05-07,2022-08-02,29.802996,76.925157,Completed,0
MPLADS-RD-00026,Uttar Pradesh,Gorakhpur,Gorakhpur,CPWD Division,State Highway Link,4.96,63.65,55.96,69,89,2025-02-10,2025-05-10,26.72439,83.353556,Delayed,0
MPLADS-RD-00027,Rajasthan,Kota,Kota,Rural Engineering Services,Rural Link Road,2.22,13.38,12.81,73,115,2020-09-20,2021-01-13,25.210349,76.024601,Delayed,0
MPLADS-RD-00028,Punjab,Jalandhar,Jalandhar,Block Development Office,Village Road,0.57,2.03,2.19,53,67,2021-03-25,2021-05-31,31.353263,75.433511,Delayed,0
MPLADS-RD-00029,Bihar,Patna,Patna Sahib,Rural Engineering Services,State Highway Link,3.78,60.11,55.0,88,110,2025-03-15,2025-07-03,25.676516,85.152325,Delayed,0
MPLADS-RD-00030,Rajasthan,Jaipur,Jaipur,District Rural Development Agency (DRDA),Village Road,3.23,10.41,9.85,80,98,2022-11-20,2023-02-26,26.917796,75.85499,Delayed,0
MPLADS-RD-00031,Assam,Jorhat,Jorhat,Zilla Parishad,Village Road,1.41,3.72,4.03,50,66,2022-09-07,2022-11-12,26.734912,94.147076,Delayed,0
MPLADS-RD-00032,Uttar Pradesh,Gorakhpur,Gorakhpur,CPWD Division,Urban Internal Road,1.14,8.86,9.52,45,48,2020-01-10,2020-02-27,26.815845,83.457827,Completed,0
MPLADS-RD-00033,Madhya Pradesh,Ujjain,Ujjain,Zilla Parishad,Village Road,0.74,3.13,2.81,47,49,2024-10-01,2024-11-19,23.324326,75.774566,Completed,0
MPLADS-RD-00034,Assam,Dibrugarh,Dibrugarh,State PWD Division,Urban Internal Road,1.22,16.51,15.6,45,49,2020-01-09,2020-02-27,27.453906,94.927097,Completed,0
MPLADS-RD-00035,Bihar,Patna,Patna Sahib,State PWD Division,State Highway Link,9.19,128.22,132.5,149,156,2022-11-12,2023-04-17,25.654005,85.08426,Completed,0
MPLADS-RD-00036,Haryana,Faridabad,Faridabad,CPWD Division,District Road,4.55,57.95,107.93,93,68,2021-09-01,2021-11-27,28.477274,77.141619,Delayed,1
MPLADS-RD-00037,Uttar Pradesh,Prayagraj,Phulpur,Municipal Corporation,Rural Link Road,4.16,16.14,17.47,126,133,2023-09-20,2024-01-31,25.690189,81.858408,Completed,0
MPLADS-RD-00038,Haryana,Karnal,Karnal,Zilla Parishad,State Highway Link,3.76,76.19,37.06,76,51,2020-08-07,,29.691104,76.999695,Ongoing,0
MPLADS-RD-00039,Rajasthan,Kota,Kota,Zilla Parishad,Urban Internal Road,1.45,17.78,18.39,45,64,2022-08-16,2022-10-19,25.453499,75.778622,Delayed,0
MPLADS-RD-00040,Uttarakhand,Haridwar,Haridwar,State PWD Division,State Highway Link,5.65,90.44,91.91,121,116,2021-01-19,2021-05-15,29.93056,78.406741,Completed,0
MPLADS-RD-00041,Jharkhand,Jamshedpur (East Singhbhum),Jamshedpur,CPWD Division,Village Road,1.4,5.19,2.28,62,49,2024-01-01,,22.743624,86.189267,Ongoing,0
MPLADS-RD-00042,Maharashtra,Pune,Pune,CPWD Division,Rural Link Road,5.57,43.23,44.9,127,124,2023-04-04,2023-08-06,18.599996,73.802497,Completed,0
MPLADS-RD-00043,Odisha,Sambalpur,Sambalpur,State PWD Division,Rural Link Road,5.19,35.43,38.56,118,126,2022-04-02,2022-08-06,21.423887,84.019008,Completed,0
MPLADS-RD-00044,Bihar,Muzaffarpur,Muzaffarpur,Panchayati Raj Engineering Department,Village Road,1.25,5.66,5.45,45,43,2019-05-09,2019-06-21,26.136102,85.3717,Completed,0
MPLADS-RD-00045,Kerala,Kozhikode,Kozhikode,State PWD Division,Urban Internal Road,2.12,33.46,14.76,50,30,2019-04-12,,11.223643,75.672888,Ongoing,0
MPLADS-RD-00046,Odisha,Khordha,Bhubaneswar,District Rural Development Agency (DRDA),Rural Link Road,4.06,13.21,14.56,85,93,2019-11-14,2020-02-15,20.15469,85.833259,Completed,0
MPLADS-RD-00047,Jharkhand,Dhanbad,Dhanbad,Municipal Corporation,Rural Link Road,1.6,10.01,3.73,69,41,2024-05-19,,23.777111,86.450931,Ongoing,0
MPLADS-RD-00048,Bihar,Darbhanga,Darbhanga,Panchayati Raj Engineering Department,Village Road,1.74,8.34,8.71,45,60,2024-07-28,2024-09-26,26.085626,85.891085,Delayed,0
MPLADS-RD-00049,Maharashtra,Nagpur,Nagpur,Zilla Parishad,Urban Internal Road,2.11,27.62,29.31,58,66,2020-05-03,2020-07-08,21.203043,79.038069,Delayed,0
MPLADS-RD-00050,Chhattisgarh,Durg,Durg,Panchayati Raj Engineering Department,Village Road,1.75,10.41,9.76,68,90,2020-11-28,2021-02-26,21.125639,81.363963,Delayed,0
MPLADS-RD-00051,Assam,Kamrup Metropolitan,Guwahati,Rural Engineering Services,District Road,6.2,75.63,127.42,141,233,2025-04-16,2025-12-05,26.127958,91.746583,Delayed,1
MPLADS-RD-00052,Assam,Silchar,Silchar,Zilla Parishad,Rural Link Road,0.83,11.68,12.83,114,162,2023-08-26,2024-02-04,24.919351,92.926615,Completed,1
MPLADS-RD-00053,Assam,Silchar,Silchar,District Rural Development Agency (DRDA),State Highway Link,6.73,168.93,123.21,134,59,2021-08-20,,24.831905,92.775719,Ongoing,0
MPLADS-RD-00054,Chhattisgarh,Raipur,Raipur,District Rural Development Agency (DRDA),Urban Internal Road,0.85,8.12,8.65,45,51,2020-12-04,2021-01-24,21.292677,81.668371,Completed,0
MPLADS-RD-00055,Jharkhand,Ranchi,Ranchi,Municipal Corporation,Rural Link Road,3.13,17.39,8.85,70,30,2022-05-06,,23.50653,85.333974,Ongoing,0
